State,Land Area (m2),Population,Population Density,Per Capita Income,Median Household Income A,Median Household Income B
AK,211300.80999999994,734417.0,3.475694201077602,35617.24912141195,49563.0,51875.0
AL,49481.33999999997,4846150.0,97.93894021463451,26883.102656129093,38704.0,41750.0
AR,49590.60000000003,2977621.0,60.0440607695813,25666.556534226485,36146.0,40574.0
AZ,89709.56,6940873.0,77.37049429291594,29270.505602825466,42937.0,49063.0
CA,96922.44000000015,39076841.0,403.1764057941581,35049.47257253983,56946.0,65231.0
CO,97067.89000000006,5514222.0,56.80788981814683,36469.42683972463,51906.0,59610.5
CT,4829.569999999999,3569498.0,739.092300142663,43172.2105231604,78037.0,86324.0
DC,59.580000000000005,677046.0,11363.645518630412,53842.673754811345,76948.0,88553.0
DE,1945.37,943604.0,485.0511727846117,34155.26257201114,57292.0,61657.0
FL,43794.01999999996,20568602.0,469.66690886107324,30222.615661482487,45671.0,51245.5
GA,54620.060000000005,10269257.0,188.01255436189558,29577.560408800753,41071.5,45659.5
HI,5407.109999999999,1413437.0,261.40341143420426,34068.34048422392,60665.0,72647.0
IA,55885.35000000005,3123899.0,55.89835260940474,31152.23102667532,50805.0,57155.0
ID,57703.410000000025,1681075.0,29.133026973622517,26818.121496661362,42917.0,50498.0
IL,54896.87000000009,12815484.0,233.44653347267302,34465.47624623463,52289.0,58177.0
IN,35552.99000000001,6617843.0,186.14026555853664,28500.651492336703,48261.0,54187.0
KS,79915.15999999996,2898597.0,36.27092781895202,30820.62763467981,47500.0,52708.0
KY,38258.940000000046,4415535.0,115.41184883846742,27028.399129890262,37113.5,41392.0
LA,39519.98000000002,4648805.0,117.63176499583244,27057.07350878344,41599.0,44100.5
MA,7740.87000000001,6813145.0,880.1523601352292,41878.868831941785,71853.5,81742.5
MD,9529.869999999997,5978351.0,627.3276550467112,40641.71298356353,72571.5,80976.5
ME,24167.140000000007,1327995.0,54.950440970673384,31282.030884152424,45395.0,51875.0
MI,55526.85999999996,9935027.0,178.92290325799095,30369.333746752778,45611.5,52203.0
MN,77477.42999999996,5523621.0,71.29329147856353,36262.68356735555,51840.5,60000.0
MO,67799.50000000006,6082527.0,89.71344921422717,29545.077012728427,41816.0,47344.0
MS,45729.420000000006,2962109.0,64.77468990422358,23556.90740550061,33490.0,38418.0
MT,135639.84999999998,1038180.0,7.653945356029221,29784.2346866632,43368.0,49833.0
NC,46948.480000000054,10131597.0,215.80244983437137,29481.0034896769,42109.0,47125.0
ND,65945.34999999996,742315.0,11.256517707465354,35611.75405993412,52358.0,64310.0
NE,76243.49000000006,1900182.0,24.922547485693514,31121.371768072742,49375.0,55236.0
NH,9077.059999999996,1343068.0,147.96288666154027,38543.62654310876,63397.5,73318.0
NJ,7048.309999999996,8876621.0,1259.397075327278,40906.77543538245,79628.5,88126.5
NM,85632.24,2027014.0,23.67115469594162,26314.41219843573,37373.0,41144.0
NV,46110.79999999998,2919544.0,63.315839239397306,29960.53002866201,52538.0,58663.5
NY,46111.540000000066,19558293.0,424.15180668439984,37535.131022068235,55625.0,61714.0
OH,40745.70999999999,11620433.0,285.19402410707784,30340.067242502926,47500.0,54232.0
OK,67378.18000000002,3912481.0,58.06747822514646,27451.498362547958,41836.0,45842.5
OR,61000.359999999986,4075095.0,66.80444180985162,32066.32504223828,45185.0,52314.0
PA,44598.07,12745021.0,285.7751691945414,32958.47541459524,48661.5,54836.5
RI,1024.57,1053151.0,1027.8956049855062,34638.08007968468,66658.0,75143.0
SC,29922.97000000001,4922493.0,164.50549527670543,28111.101308625526,38942.0,42416.5
SD,74077.53,859766.0,11.60629950809645,29856.74296727249,48043.0,56250.0
TN,40626.62000000002,6630387.0,163.2030181196466,28559.84099691315,38921.5,43979.0
TX,222934.44999999972,27830255.0,124.83604485533768,30167.175478126235,46188.0,52292.0
UT,35538.05,3039870.0,85.53845807521796,28254.980671212914,53946.5,61445.5
VA,38772.87,8377699.0,216.0711600663041,37858.89366328392,50341.0,56390.0
VT,9206.260000000002,617996.0,67.12780216939342,33532.26928006006,53446.0,58542.0
WA,58254.78000000005,7279616.0,124.9616941305073,36916.01159552921,52232.0,60273.5
WI,53619.25000000004,5776045.0,107.72334562680373,32027.559618735657,50830.0,56928.0
WV,22404.97,1796714.0,80.19265368353538,25582.07606998109,37500.0,41738.0
WY,66007.26999999997,574919.0,8.709934526908933,32282.04867816162,53750.0,57037.0
